Emisi Budidaya Padi,Emisi Tanah Organik Yang Dikeringkan (Co2),Emisi Pembuatan Pestisida,Emisi Transportasi Makanan,Emisi Ritel Makanan,Emisi Penggunaan Listrik Di Pertanian,Emisi Kemasan Makanan,Emisi Sistem Agrifood Pembuangan Limbah,Emisi Pengolahan Makanan,Emisi Manufaktur Pupuk,Emisi Pupuk Kandang Di Padang Rumput,Emisi Kebakaran Di Tanah Organik,Populasi Pedesaan,Populasi Perkotaan,Total Populasi - Pria,Total Populasi - Wanita,Emisi Total,Peningkatan Suhu Rata - Rata ° C,Tahun,lat,lon
265.0979164345904,110.5335,3.0,149.6106,8.2905,5.6954,18.4534,490.0383,22.653,377.4078995531106,427.8384,0.0,1832914.0,1282662.0,1592223.0,1616037.0,3336.6393159877007,0.9410833333333332,1999,5.7587654,-73.9151617
265.0979164345904,110.5335,4.0,177.8994,11.1932,9.52,15.9217,500.1149,35.7348,377.4078995531106,428.1167,0.0,1818833.0,1303137.0,1577591.0,1604429.0,3516.550615987701,1.1191666666666666,2000,5.7587654,-73.9151617
265.0979164345904,110.4958,4.0,178.7129,15.2996,10.2805,16.2661,522.9138,49.5545,377.4078995531106,413.9378,0.0,1797423.0,1324985.0,1562949.0,1590663.0,2074.201015987701,1.0385,2001,5.7587654,-73.9151617
265.0979164345904,110.4958,4.0,197.9949,20.1063,13.6421,16.708,522.1916,62.7811,377.4078995531106,394.7005,0.0,1762229.0,1356800.0,1548482.0,1575069.0,2148.6725159877005,0.8756666666666666,2002,5.7587654,-73.9151617
265.0979164345904,110.4506,1.0,226.6981,25.5938,4.4671,12.2584,522.9161,74.7292,377.4078995531106,406.497,0.0,1724344.0,1386661.0,1534566.0,1558425.0,2319.171915987701,0.9353333333333332,2003,5.7587654,-73.9151617
265.0979164345904,110.4274,4.0,217.0101,33.4117,1.4195,14.4652,545.0646,90.0537,377.4078995531106,383.9029,0.0,1683584.0,1414163.0,1521272.0,1541351.0,2548.7889159877013,0.5704166666666667,2004,5.7587654,-73.9151617
265.0979164345904,110.4274,0.0,272.6528,45.9153,0.4504,13.9176,555.9565,105.8505,377.4078995531106,379.7148,0.0,1640246.0,1438933.0,1508427.0,1524207.0,2531.8138159877008,0.0732499999999999,2005,5.7587654,-73.9151617
265.0979164345904,110.4274,0.0,222.3144,45.4328,0.6004,16.9902,554.8915,121.435,377.4078995531106,379.62,0.0,1593892.0,1460439.0,1496029.0,1507358.0,2745.475315987701,0.3608333333333333,2006,5.7587654,-73.9151617
265.0979164345904,110.4274,42.06774574412039,258.5925,51.291,0.726,20.5753,593.4196,138.7823,377.4078995531106,363.1646,0.0,1545166.0,1478741.0,1484648.0,1491436.0,2866.280761731821,1.1725833333333333,2007,5.7587654,-73.9151617
259.19722621124515,110.4274,0.0,279.7287,62.4115,3.0245,22.9737,604.0795,129.0643,377.4078995531106,344.7775,0.0,1496108.0,1495543.0,1474662.0,1477027.0,2798.751825764356,1.1739166666666667,2008,5.7587654,-73.9151617
248.06149701135485,110.4274,4.0,273.8879,62.0187,0.1336,24.3511,596.5965,99.2571,377.4078995531106,327.9446,0.0,1449427.0,1513208.0,1466053.0,1464488.0,2784.429396564465,0.99275,2009,5.7587654,-73.9151617
248.06149701135485,109.774,7.0,277.187,71.1151,0.2406,27.3674,640.5573,122.7233,377.4078995531106,330.4915,0.0,1406665.0,1533860.0,1459102.0,1454297.0,3185.5847965644653,1.0785,2010,5.7587654,-73.9151617
248.06149701135485,109.8112,6.0,275.3115,75.1379,0.9174,27.6027,617.6381,132.4256,377.4078995531106,323.6477,0.0,1368297.0,1558362.0,1453895.0,1446759.0,3651.4082965644657,1.0705,2011,5.7587654,-73.9151617
248.06149701135485,109.8112,4.0,265.4062,76.6453,1.0605,29.7415,637.9198,134.3208,377.4078995531106,335.0031,0.0,1333585.0,1586454.0,1450370.0,1441822.0,3713.212496564464,1.3545833333333333,2012,5.7587654,-73.9151617
248.06149701135485,109.1577,5.0,286.2621,85.9146,1.2721,31.5296,691.7072,141.9204,377.4078995531106,343.4951,0.0,1302236.0,1616742.0,1448110.0,1438905.0,3901.0259965644655,1.3974166666666663,2013,5.7587654,-73.9151617
248.06149701135485,109.1577,4.0,308.5878,93.1405,1.4056,45.3269,690.7405,137.448,377.4078995531106,350.9466,0.0,1272790.0,1647985.0,1446732.0,1437370.0,3936.1055965644655,1.29025,2014,5.7587654,-73.9151617
4.312,0.0,104.0,1584.441,433.8,70.05,68.2961,5786.5052,470.0933651545287,47.5683,2444.0853,0.0,12415865.0,13496502.0,12970400.0,12547674.0,22326.59696515453,1.0055833333333333,1990,28.0000272,2.9999825
4.3904,0.0,134.0,1415.6915,305.1,69.132,75.1288,6067.9856,503.5610066176004,54.1387,2350.3049,0.0,12514727.0,14039602.0,13282430.0,12851476.0,25188.7150066176,0.0091666666666666,1991,28.0000272,2.9999825
4.4688,0.0,59.0,1731.1773,265.5,69.9891,71.824,6337.0692,488.8555832998469,59.726,2456.1071,0.0,12596547.0,14584547.0,13592789.0,13155514.0,25656.62088329985,-0.2090833333333333,1992,28.0000272,2.9999825
4.3747,0.0,51.0,1479.9805,217.8,70.5892,70.6608,6587.1649,497.8224554138789,81.9528,2512.6051,0.0,12659779.0,15126480.0,13898591.0,13455737.0,26551.10345541388,0.4998333333333333,1993,28.0000272,2.9999825
4.555,0.0,63.0,1316.1223,178.2,75.586,73.6609,6804.8405,495.7093785906734,106.9836,2449.8436,0.0,12700801.0,15661452.0,14191896.0,13745110.0,25860.094378590675,0.7169166666666666,1994,28.0000272,2.9999825
4.6334,0.0,124.0,1253.5507,142.2,79.269,74.6503,7010.9505,499.74210131703165,130.1397,2468.067,0.0,12718634.0,16185664.0,14462522.0,14015501.0,26110.332301317037,0.7949166666666666,1995,28.0000272,2.9999825
4.704,0.0,28.0,1211.2578,194.4,77.7962,59.5028,7194.6168,482.4401293093644,155.4751,2396.7696,0.0,12713484.0,16697931.0,14736488.0,14248146.0,26039.59202930937,0.7940833333333334,1996,28.0000272,2.9999825
1.568,0.0,21.0,1171.796,234.0,80.8866,61.8404,7366.2898,495.21779567809824,182.2565,2445.3776,0.0,12688632.0,17198207.0,15025934.0,14450097.0,27014.3984956781,1.00825,1997,28.0000272,2.9999825
2.5715,0.0,10.0,1219.3834,86.9894,85.552,69.8516,7343.6292,508.0190648330917,207.1222,2629.1128,0.0,12645977.0,17689755.0,15272209.0,14652460.0,28516.89726483309,0.982,1998,28.0000272,2.9999825
2.5558,0.0,27.0,1268.5777,99.2687,85.6971,87.1637,7472.9943,507.23440477229866,330.4197,2673.596,0.0,12577656.0,18187957.0,15482799.0,14863283.0,29926.028704772296,1.4823333333333333,1999,28.0000272,2.9999825
2.6186,0.0,35.0,1712.3982,206.6857,86.4925,116.9712,7593.3417,132.8227,449.0023,2678.4228,0.0,12498847.0,18684813.0,15698203.0,15076418.0,31051.3444,0.9940833333333332,2000,28.0000272,2.9999825
2.6499,0.0,43.0,1388.9576,298.5141,88.4215,201.9851,7711.0748,265.8686,571.5152,2689.5492,0.0,12411940.0,19180213.0,15912853.0,15288132.0,28373.018800000005,1.7890833333333334,2001,28.0000272,2.9999825
2.4069,0.0,51.0,1510.1469,386.3663,91.7275,267.2127,7809.5114,402.0306,408.1679,2665.4277,0.0,12317847.0,19677199.0,16126874.0,15497822.0,29949.05810000001,1.3711666666666666,2002,28.0000272,2.9999825
2.5872,0.0,45.0,1599.1734,363.0187,93.578,335.5876,7879.7353,536.1627,568.6859,2738.2321,0.0,12221443.0,20182071.0,16346159.0,15709725.0,30753.94000000001,1.4333333333333331,2003,28.0000272,2.9999825
2.5166,0.0,28.0,1639.1002,405.8072,95.3402,387.9333,8016.4459,670.0511,603.0243,2843.5966,0.0,12127441.0,20703655.0,16578139.0,15932047.0,33437.3052,1.0174999999999998,2004,28.0000272,2.9999825
2.3442,0.0,28.0,1743.3588,380.4665,94.5039,482.4026,8103.7753,788.2882,478.105,2879.8072,0.0,12040491.0,21247946.0,16806416.0,16150274.0,35066.067,1.21875,2005,28.0000272,2.9999825
2.203,0.0,27.0,2511.7378,449.8918,156.3505,579.0063,8203.5968,930.8244,258.9451,2960.8902,0.0,11959903.0,21818012.0,17050923.0,16384158.0,36854.16950000001,1.4022500000000002,2006,28.0000272,2.9999825
2.0384,0.0,43.0,2789.478,513.2019,207.3803,665.3222,8305.8102,1044.0677,512.6729,2997.4983,0.0,11885693.0,22414383.0,17330466.0,16653361.0,40779.2549,1.1966666666666663,2007,28.0000272,2.9999825
1.8738,0.0,39.0,2970.1151,580.9551,264.0889,744.2153,8423.7211,1173.7541,66.3182,2979.282,0.0,11818949.0,23041766.0,17628560.0,16941031.0,41509.2737,1.1405833333333333,2008,28.0000272,2.9999825
1.717,0.0,48.0,3150.2356,660.2323,343.2039,824.1875,8522.1206,1346.0907,40.7287,3118.5266,0.0,11765339.0,23700421.0,17946941.0,17249096.0,41370.03549999999,1.2396666666666667,2009,28.0000272,2.9999825
1.5915,0.0,37.0,3370.6663,704.6526,552.0486,830.1015,8606.9101,1041.8938,111.9777,3288.2985,0.0,11723941.0,24393696.0,18282636.0,17573708.0,41905.4954,2.2304166666666667,2010,28.0000272,2.9999825
1.5602,0.0,59.0,3658.562,497.4448,603.5728,824.322,8739.1316,1550.1321,144.3605,3404.009,0.0,11695477.0,25124081.0,18632179.0,17911362.0,45812.1143,1.2025,2011,28.0000272,2.9999825
1.4112,0.0,59.0,4147.8167,535.9704,671.8043,823.4977,8832.6132,1683.908,2463.0377,3541.1182,0.0,11677502.0,25888345.0,18995990.0,18264572.0,51296.34490000001,1.18025,2012,28.0000272,2.9999825
1.4112,0.0,41.0,4357.0787,599.8748,365.755,846.0018,8931.8863,1772.8231,2055.7458,3705.6336,0.0,11664030.0,26674532.0,19371095.0,18629532.0,51277.3731,1.1286666666666667,2013,28.0000272,2.9999825
1.4112,0.0,42.0,4696.1757,640.0635,710.517,875.2822,9011.6171,1900.5852,3251.794,3878.1551,0.0,11647651.0,27465662.0,19755734.0,19004433.0,56458.5984,1.6861666666666666,2014,28.0000272,2.9999825
926.3422784724488,0.0,11.481084565896976,16.9802,8.4872,17.00466278502689,77.39365076150476,1.6937,94.6238,2005.7921290780253,2148.251692850715,0.0,8962.0,38076.0,24538.0,23281.0,5299.122498513618,0.5665,1990,-14.297124,-170.7131481
926.3422784724488,0.0,11.481084565896976,16.7829,8.3916,17.00466278502689,77.39365076150476,1.7413,92.7057,2005.7921290780253,2148.251692850715,0.0,8763.0,39612.0,25117.0,23874.0,5296.268898513617,0.599,1991,-14.297124,-170.7131481
926.3422784724488,0.0,11.481084565896976,17.339,8.7751,17.00466278502689,77.39365076150476,1.7848,97.5009,2005.7921290780253,2148.251692850715,0.0,8535.0,41058.0,25656.0,24422.0,5304.147298513618,0.3661666666666667,1992,-14.297124,-170.7131481
926.3422784724488,0.0,11.481084565896976,16.9225,8.4394,17.00466278502689,77.39365076150476,1.8251,94.3041,2005.7921290780253,2148.251692850715,0.0,8291.0,42429.0,26198.0,24976.0,5298.828698513617,-0.0326666666666666,1993,-14.297124,-170.7131481
926.3422784724488,0.0,11.481084565896976,16.2396,7.9598,17.00466278502689,77.39365076150476,1.8635,88.2302,2005.7921290780253,2148.251692850715,0.0,8037.000000000001,43766.0,26750.0,25539.0,5288.8138985136175,0.1679166666666667,1994,-14.297124,-170.7131481
926.3422784724488,0.0,11.481084565896976,15.5796,7.4803,17.00466278502689,77.39365076150476,1.9014,82.4762,2005.7921290780253,2148.251692850715,0.0,7782.0,45086.0,27298.0,26103.0,5279.510298513617,0.77,1995,-14.297124,-170.7131481
926.3422784724488,0.0,11.481084565896976,15.534,7.3365,17.00466278502689,77.39365076150476,1.9389,81.5171,2005.7921290780253,2148.251692850715,0.0,7527.0,46402.0,27837.0,26663.0,5278.027698513618,0.8094166666666668,1996,-14.297124,-170.7131481
926.3422784724488,0.0,11.481084565896976,15.7413,7.5763,17.00466278502689,77.39365076150476,1.9754,84.0746,2005.7921290780253,2148.251692850715,0.0,7268.0,47673.0,28368.0,27209.0,5282.133498513617,0.353,1997,-14.297124,-170.7131481
926.3422784724488,0.0,11.481084565896976,15.6022,7.4324,17.00466278502689,77.39365076150476,2.0094,82.7957,2005.7921290780253,2148.251692850715,0.0,7006.0,48895.0,28874.0,27730.0,5280.2603985136175,0.892,1998,-14.297124,-170.7131481
926.3422784724488,0.0,11.481084565896976,15.4988,7.2886,17.00466278502689,77.39365076150476,2.0405,81.5171,2005.7921290780253,2148.251692850715,0.0,6738.0,50032.0,29360.0,28234.0,5278.046198513618,0.2499166666666666,1999,-14.297124,-170.7131481
1193.5585645605074,0.0,11.481084565896976,14.9494,6.6172,17.00466278502689,77.39365076150476,2.068,73.8449,2005.7921290780253,2148.251692850715,0.0,6565.0,50956.0,29657.0,28572.0,5532.887084601676,0.6325,2000,-14.297124,-170.7131481
1193.5585645605074,0.0,11.481084565896976,14.9494,6.6172,17.00466278502689,77.39365076150476,2.0923,73.8449,2005.7921290780253,2148.251692850715,0.0,6695.0,51480.0,29674.0,28649.0,5544.453984601676,0.8770833333333333,2001,-14.297124,-170.7131481
1193.5585645605074,0.0,11.481084565896976,15.4578,6.8091,17.00466278502689,77.39365076150476,2.1355,75.4746,2005.7921290780253,2148.251692850715,0.0,6816.0,51915.0,29570.0,28608.0,5547.899084601677,1.2179166666666668,2002,-14.297124,-170.7131481
1302.1294387347373,0.0,11.481084565896976,15.1342,6.5215,17.00466278502689,77.39365076150476,2.1496,72.6289,2005.7921290780253,2148.251692850715,0.0,6919.0,52198.0,29419.0,28521.0,5651.622758775906,0.6291666666666667,2003,-14.297124,-170.7131481
1302.1294387347373,0.0,11.481084565896976,15.1342,6.5215,17.00466278502689,77.39365076150476,2.1554,72.6602,2005.7921290780253,2148.251692850715,0.0,6994.0,52270.0,29233.0,28392.0,5651.666858775906,0.2823333333333333,2004,-14.297124,-170.7131481
1193.5585645605074,0.0,11.481084565896976,17.4095,6.6172,17.00466278502689,77.39365076150476,2.1497,74.2902,2005.7921290780253,2148.251692850715,0.0,7035.0,52083.0,29024.0,28230.0,5547.788884601676,0.70025,2005,-14.297124,-170.7131481
1193.5585645605074,0.0,11.481084565896976,17.8754,6.7612,17.00466278502689,77.39365076150476,2.1328,75.9199,2005.7921290780253,2148.251692850715,0.0,7038.0,51612.0,28793.0,28044.0,5551.048284601677,0.3900833333333333,2006,-14.297124,-170.7131481
926.3422784724488,0.0,11.481084565896976,17.9336,6.8569,17.00466278502689,77.39365076150476,2.1054,76.5905,2005.7921290780253,2148.251692850715,0.0,7006.0,50897.0,28541.0,27842.0,5284.962698513617,1.09,2007,-14.297124,-170.7131481
1193.5585645605074,0.0,11.481084565896976,17.8738,6.7612,17.00466278502689,77.39365076150476,2.0731,75.9825,2005.7921290780253,2148.251692850715,0.0,6958.0,50072.0,28265.0,27626.0,5551.0135846016765,0.7199166666666666,2008,-14.297124,-170.7131481
926.3422784724488,0.0,11.481084565896976,18.0955,7.001,17.00466278502689,77.39365076150476,2.0428,78.2515,2005.7921290780253,2148.251692850715,0.0,6918.0,49309.0,27960.0,27406.0,5287.555198513617,1.459,2009,-14.297124,-170.7131481
926.3422784724488,0.0,11.481084565896976,18.3963,7.2405,17.00466278502689,77.39365076150476,2.0208,80.8403,2005.7921290780253,2148.251692850715,0.0,6902.0,48735.0,27660.0,27189.0,5291.6861985136175,1.2591818181818182,2010,-14.297124,-170.7131481
1410.4455060177872,0.0,11.481084565896976,10.1101,4.1718,17.00466278502689,77.39365076150476,2.0081,46.9862,2005.7921290780253,2148.251692850715,0.0,6914.0,48406.0,27358.0,26951.0,5718.849126058956,0.8474166666666667,2011,-14.297124,-170.7131481
1410.4455060177872,0.0,11.481084565896976,9.8445,3.9799,17.00466278502689,77.39365076150476,2.0039,44.4287,2005.7921290780253,2148.251692850715,0.0,6948.0,48282.0,27014.0,26678.0,5714.790626058956,0.9425,2012,-14.297124,-170.7131481
1410.4455060177872,0.0,11.481084565896976,9.8319,3.9799,17.00466278502689,77.39365076150476,2.0047,44.7485,2005.7921290780253,2148.251692850715,0.0,6997.0,48310.0,26627.0,26369.0,5715.453826058956,1.2911666666666666,2013,-14.297124,-170.7131481
1410.4455060177872,0.0,11.481084565896976,9.9484,4.028,17.00466278502689,77.39365076150476,2.0064,45.3878,2005.7921290780253,2148.251692850715,0.0,7047.0,48390.0,26199.0,26017.0,5716.271326058956,1.1465,2014,-14.297124,-170.7131481
926.3422784724488,0.0,11.481084565896976,32.7588,3.0803,17.00466278502689,67.63136607385836,12.8518,451.19629118273247,1664.2573914805905,2294.30791696942,0.0,2882.0,51627.0,28390.0,25179.0,5576.553291529975,1.2785,1990,42.5407167,1.5732033
926.3422784724488,0.0,11.481084565896976,32.7949,3.2042,17.00466278502689,67.63136607385836,13.2128,451.19629118273247,1664.2573914805905,2294.30791696942,0.0,3100.0,53571.0,29350.0,26084.0,5579.774091529975,0.4149166666666666,1991,42.5407167,1.5732033
926.3422784724488,0.0,11.481084565896976,32.8319,3.3304,17.00466278502689,67.63136607385836,13.5427,451.19629118273247,1664.2573914805905,2261.902031290411,0.0,3343.0,55545.0,30270.0,27014.0,5554.404705850964,0.4968333333333333,1992,42.5407167,1.5732033
926.3422784724488,0.0,11.481084565896976,33.1543,1.441,17.00466278502689,67.63136607385836,13.7867,451.19629118273247,1664.2573914805905,2294.30791696942,0.0,3591.0,57380.0,31212.0,27944.0,5586.025291529974,0.2301666666666666,1993,42.5407167,1.5732033
926.3422784724488,0.0,11.481084565896976,33.517,1.4909,17.00466278502689,67.63136607385836,14.0061,451.19629118273247,1664.2573914805905,2294.30791696942,0.0,3830.0,58847.0,32163.0,28875.0,5589.867191529975,1.495,1994,42.5407167,1.5732033
926.3422784724488,0.0,11.481084565896976,34.4986,0.1221,17.00466278502689,67.63136607385836,14.204,451.19629118273247,1664.2573914805905,2294.30791696942,0.0,4047.0,59803.0,33121.0,29806.0,5597.592691529974,1.2495,1995,42.5407167,1.5732033
926.3422784724488,0.0,11.481084565896976,36.4239,0.0115,17.00466278502689,67.63136607385836,14.3395,0.0417,1664.2573914805905,2294.30791696942,0.0,4232.0,60128.0,33694.0,30454.0,5146.951000347242,0.5359166666666667,1996,42.5407167,1.5732033
926.3422784724488,0.0,11.481084565896976,38.705,0.054,17.00466278502689,67.63136607385836,14.4203,0.1479,1664.2573914805905,2294.30791696942,0.0,4387.0,59940.0,33867.0,30814.0,5151.0432003472415,1.8163333333333331,1997,42.5407167,1.5732033
926.3422784724488,0.0,11.481084565896976,40.264,0.1385,17.00466278502689,67.63136607385836,14.4889,0.2918,1664.2573914805905,2294.30791696942,0.0,4537.0,59605.0,34027.0,31159.0,5139.733800347241,0.9144166666666664,1998,42.5407167,1.5732033
